item,avg_rating,rank,rating_sd,number_ratings,character
reasonable (not deranged),83.6,130,23.3,144,Lisa Simpson
sheriff (not outlaw),83,144,24.5,345,Lisa Simpson
beautiful (not ugly),83,628,18.7,106,Lisa Simpson
focused on the future (not focused on the present),82.9,21,17.6,422,Lisa Simpson
demanding (not unchallenging),82.9,408,23.4,76,Lisa Simpson
high-tech (not low-tech),82.8,165,19.2,378,Lisa Simpson
respectful (not rude),82.6,205,19.7,461,Lisa Simpson
👨‍🚀 (not 🧙),82.4,40,24.5,200,Lisa Simpson
factual (not exaggerating),82.3,108,23.4,57,Lisa Simpson
pure (not debased),82.2,121,20.2,403,Lisa Simpson
interested (not bored),82,137,23.9,60,Lisa Simpson
washed (not muddy),82,145,24.2,47,Lisa Simpson
tight (not loose),81.9,187,23.4,58,Lisa Simpson
🙋‍♂️ (not 🙅‍♂️),81.8,79,27,99,Lisa Simpson
extraordinary (not mundane),81.7,296,22.8,384,Lisa Simpson
open to new experinces (not uncreative),81.6,345,21.2,437,Lisa Simpson
🐿 (not 🦇),81.5,134,22.9,138,Lisa Simpson
feminine (not masculine),81.4,295,16.1,449,Lisa Simpson
altruistic (not selfish),81.4,178,21.1,436,Lisa Simpson
white knight (not bad boy),81.4,212,24.5,49,Lisa Simpson
democratic (not authoritarian),81.3,48,27.2,386,Lisa Simpson
cautious (not impulsive),81.2,116,20.8,431,Lisa Simpson
angelic (not demonic),81.1,188,19.1,396,Lisa Simpson
opinionated (not jealous),81.1,192,21.3,47,Lisa Simpson
politically correct (not edgy),81,51,27.6,450,Lisa Simpson
flower child (not goth),81,269,24.7,45,Lisa Simpson
involved (not remote),80.8,182,23.7,380,Lisa Simpson
🚴 (not 🏋️‍♂️),80.6,205,23,118,Lisa Simpson
deep (not shallow),80.5,170,21.9,163,Lisa Simpson
😇 (not 😈),80.5,186,23.2,131,Lisa Simpson
consistent (not variable),80.4,113,23,51,Lisa Simpson
indie (not pop),80.4,160,19.9,36,Lisa Simpson
🧐 (not 😎),80.3,85,28.1,144,Lisa Simpson
😊 (not 🤣),80.3,133,23.3,128,Lisa Simpson
complicated (not simple),80.2,326,23,350,Lisa Simpson
protagonist (not antagonist),80.1,400,23.1,70,Lisa Simpson
nurturing (not poisonous),80,289,18.8,137,Lisa Simpson
resolute (not wavering),79.9,232,22.5,136,Lisa Simpson
🤔 (not 🤫),79.9,29,27.8,136,Lisa Simpson
strict (not lenient),79.8,243,21.7,477,Lisa Simpson
tense (not relaxed),79.8,469,18.6,437,Lisa Simpson
direct (not roundabout),79.8,333,21.8,413,Lisa Simpson
wholesome (not salacious),79.7,235,23.8,119,Lisa Simpson
charismatic (not uninspiring),79.6,490,20.8,315,Lisa Simpson
obsessed (not aloof),79.6,211,21.8,380,Lisa Simpson
🎩 (not 🧢),79.5,307,25.8,126,Lisa Simpson
methodical (not astonishing),79.4,143,26.4,407,Lisa Simpson
fast (not slow),79.3,343,19.7,398,Lisa Simpson
honorable (not cunning),79.2,213,25.2,459,Lisa Simpson
frenzied (not sleepy),79.2,303,12.7,55,Lisa Simpson
prideful (not envious),79.1,193,21.2,55,Lisa Simpson
serious (not playful),78.9,396,18.7,425,Lisa Simpson
young (not old),78.8,458,27.3,398,Lisa Simpson
tactful (not indiscreet),78.8,152,24,139,Lisa Simpson
triggered (not trolling),78.6,78,24.4,53,Lisa Simpson
empath (not psychopath),78.4,379,19.2,69,Lisa Simpson
tailor (not blacksmith),78.3,179,23.8,44,Lisa Simpson
coordinated (not clumsy),78.2,525,26.3,395,Lisa Simpson
thinker (not doer),78.2,63,30.9,63,Lisa Simpson
sober (not indulgent),78,80,27.2,417,Lisa Simpson
master (not apprentice),78,515,24.1,184,Lisa Simpson
emancipated (not enslaved),77.9,248,23.8,386,Lisa Simpson
logical (not emotional),77.8,168,22.3,476,Lisa Simpson
analysis (not common sense),77.5,209,29.1,42,Lisa Simpson
assertive (not passive),77.4,556,24.9,403,Lisa Simpson
pensive (not serene),77.3,172,26,41,Lisa Simpson
straightforward (not cryptic),77.2,215,27.1,427,Lisa Simpson
bossy (not meek),77.2,612,21.4,423,Lisa Simpson
French (not Russian),77.1,135,26.2,51,Lisa Simpson
main character (not side character),77.1,453,24.9,39,Lisa Simpson
hoarder (not unprepared),76.9,126,19.4,330,Lisa Simpson
🐩 (not 🐒),76.8,257,28.9,109,Lisa Simpson
picky (not always down),76.5,212,25,39,Lisa Simpson
English (not German),76.3,554,32,49,Lisa Simpson
penny-pincher (not overspender),76.2,114,20.4,182,Lisa Simpson
disarming (not creepy),76.1,414,20.1,135,Lisa Simpson
captain (not first-mate),75.8,437,30.6,364,Lisa Simpson
skeptical (not spiritual),75.6,519,29.1,441,Lisa Simpson
chaste (not lustful),75.6,105,24.2,382,Lisa Simpson
🤖 (not 👻),75.5,123,27.6,134,Lisa Simpson
orange (not purple),75.1,118,29.2,353,Lisa Simpson
sturdy (not flimsy),74.9,521,26.5,45,Lisa Simpson
frugal (not lavish),74.8,220,22.4,398,Lisa Simpson
prudish (not flirtatious),74.8,167,26.7,35,Lisa Simpson
interesting (not tiresome),74.8,554,26.4,361,Lisa Simpson
generous (not stingy),74.5,431,21.4,73,Lisa Simpson
resistant (not resigned),74.4,432,27.9,399,Lisa Simpson
gatherer (not hunter),74.4,270,31.5,51,Lisa Simpson
dramatic (not comedic),74.4,545,22.1,68,Lisa Simpson
businesslike (not chivalrous),74.4,298,29.9,61,Lisa Simpson
confidential (not gossiping),74.2,646,25,399,Lisa Simpson
hurried (not leisurely),74.2,189,23.7,365,Lisa Simpson
open-minded (not close-minded),74.2,326,26.4,406,Lisa Simpson
pretentious (not unassuming),74.1,371,26.7,140,Lisa Simpson
giving (not receiving),73.9,442,25.6,63,Lisa Simpson
formal (not intimate),73.5,282,26.2,179,Lisa Simpson
frank (not sugarcoated),73.5,684,22.6,49,Lisa Simpson
anxious (not calm),73.4,394,22.4,386,Lisa Simpson
inspiring (not cringeworthy),73.4,395,28.5,104,Lisa Simpson
non-gamer (not gamer),73.3,427,28.8,50,Lisa Simpson
vanilla (not kinky),73.2,258,29.2,374,Lisa Simpson
offended (not chill),73.1,382,23.5,51,Lisa Simpson
contrarian (not yes-man),73,363,31.2,40,Lisa Simpson
ambitious (not realistic),72.8,437,30.2,44,Lisa Simpson
expressive (not stoic),72.8,461,25.7,425,Lisa Simpson
rigid (not flexible),72.7,360,25,386,Lisa Simpson
metrosexual (not macho),72.7,323,25.3,45,Lisa Simpson
philosophical (not real),72.6,80,29.1,285,Lisa Simpson
cat person (not dog person),72.6,283,30.4,39,Lisa Simpson
conspiracist (not sheeple),72.6,456,27.4,292,Lisa Simpson
tame (not wild),72.5,219,27.6,376,Lisa Simpson
good-cook (not bad-cook),72.5,180,28.3,62,Lisa Simpson
asexual (not sexual),72.5,162,27.7,50,Lisa Simpson
not genocidal (not genocidal),72.3,806,31.8,51,Lisa Simpson
smooth (not rough),72.1,251,26.6,341,Lisa Simpson
complimentary (not insulting),72.1,406,26.7,97,Lisa Simpson
self-improving (not self-destructive),72,229,30,56,Lisa Simpson
badass (not weakass),72,904,30.2,55,Lisa Simpson
emotional (not unemotional),72,734,25.1,36,Lisa Simpson
existentialist (not nihilist),71.9,177,29.4,80,Lisa Simpson
love-focused (not money-focused),71.8,792,28.6,59,Lisa Simpson
sensitive (not thick-skinned),71.8,270,25.4,362,Lisa Simpson
sane (not crazy),71.8,308,27.7,142,Lisa Simpson
dominant (not submissive),71.7,755,26,403,Lisa Simpson
👽 (not 🤡),71.6,256,28.1,112,Lisa Simpson
technophile (not luddite),71.6,238,28,336,Lisa Simpson
expressive (not monotone),71.6,574,31.8,50,Lisa Simpson
loveable (not punchable),71.5,533,27.8,63,Lisa Simpson
one-faced (not two-faced),71.4,677,31.2,59,Lisa Simpson
pacifist (not ferocious),71.2,248,31.6,443,Lisa Simpson
warm (not cold),71.1,530,24.6,411,Lisa Simpson
minimalist (not pack rat),71.1,239,29.5,118,Lisa Simpson
bright (not depressed),71.1,314,27,403,Lisa Simpson
unambiguous (not mysterious),71.1,341,28.8,368,Lisa Simpson
attractive (not repulsive),70.9,944,23.6,387,Lisa Simpson
objective (not subjective),70.8,106,30,96,Lisa Simpson
arcane (not mainstream),70.3,375,28.7,362,Lisa Simpson
🧗 (not 🛌),70.2,651,31.1,216,Lisa Simpson
deep (not epic),70,133,28.4,68,Lisa Simpson
morning lark (not night owl),69.9,219,30.8,246,Lisa Simpson
equitable (not hypocritical),69.9,383,29.5,97,Lisa Simpson
gendered (not androgynous),69.8,1209,28.4,168,Lisa Simpson
permanent (not transient),69.6,322,27.9,133,Lisa Simpson
boy/girl-next-door (not celebrity),69.5,680,31.1,42,Lisa Simpson
preppy (not punk rock),69.4,645,31.4,72,Lisa Simpson
reassuring (not fearmongering),69.4,525,31.1,40,Lisa Simpson
city-slicker (not country-bumpkin),69.4,806,25.9,145,Lisa Simpson
cosmopolitan (not provincial),69.1,356,31,324,Lisa Simpson
decisive (not hesitant),69.1,806,28.3,413,Lisa Simpson
sage (not whippersnapper),68.9,236,31.6,47,Lisa Simpson
wooden (not plastic),68.9,643,29,46,Lisa Simpson
alpha (not beta),68.8,798,31,383,Lisa Simpson
sunny (not gloomy),68.7,451,28.1,64,Lisa Simpson
romantic (not dispassionate),68.7,782,29.9,54,Lisa Simpson
attentive (not interrupting),68.4,460,34.4,61,Lisa Simpson
vintage (not trendy),68.3,829,31.1,53,Lisa Simpson
specialist (not generalist),68.2,455,34.4,70,Lisa Simpson
forgiving (not vengeful),68.1,523,26.9,448,Lisa Simpson
child free (not pronatalist),67.7,621,32.1,330,Lisa Simpson
socialist (not libertarian),67.6,52,36.2,384,Lisa Simpson
atheist (not theist),67.5,587,33.1,100,Lisa Simpson
proactive (not reactive),67.5,126,34.3,42,Lisa Simpson
introvert (not extrovert),67.4,344,27.6,407,Lisa Simpson
mighty (not puny),67.4,881,28.9,418,Lisa Simpson
urban (not rural),67.2,847,29.9,206,Lisa Simpson
stubborn (not accommodating),67.2,995,32.9,64,Lisa Simpson
multicolored (not monochrome),66.7,430,34.2,90,Lisa Simpson
Greek (not Roman),66.7,72,34.8,47,Lisa Simpson
🤺 (not 🏌),66.6,928,33.3,117,Lisa Simpson
thin (not thick),66.5,612,23.9,275,Lisa Simpson
creative (not conventional),66.2,587,32.4,436,Lisa Simpson
ranged (not melee),66.2,273,30.7,52,Lisa Simpson
earth (not air),66.2,622,34.5,65,Lisa Simpson
modest (not flamboyant),66.1,647,29.7,438,Lisa Simpson
sweet (not bitter),66.1,587,25.9,340,Lisa Simpson
outsider (not insider),66.1,453,33.2,307,Lisa Simpson
bold (not shy),65.8,1344,29.3,441,Lisa Simpson
🎃 (not 💀),65.8,405,30,53,Lisa Simpson
queen (not princess),65.8,797,36.8,44,Lisa Simpson
paranoid (not naive),65.8,623,28.2,39,Lisa Simpson
intense (not lighthearted),65.7,920,32.1,57,Lisa Simpson
rock (not rap),65.4,1266,27.4,45,Lisa Simpson
💝 (not 💔),65.2,527,31.5,196,Lisa Simpson
profound (not ironic),65.2,329,30.2,50,Lisa Simpson
competitive (not cooperative),65.1,853,31.2,434,Lisa Simpson
ivory-tower (not blue-collar),64.8,516,31.2,366,Lisa Simpson
scientific (not artistic),64.7,666,26.9,402,Lisa Simpson
utilitarian (not decorative),64.7,736,33.2,96,Lisa Simpson
flourishing (not traumatized),64.7,207,30.7,54,Lisa Simpson
overprepared (not efficient),64.7,109,33.8,52,Lisa Simpson
individualist (not communal),64.2,715,32.3,99,Lisa Simpson
realistic (not fantastical),63.9,732,31.6,54,Lisa Simpson
demure (not vain),63.8,477,27.3,369,Lisa Simpson
reliable (not experimental),63.8,671,32.6,67,Lisa Simpson
water (not fire),63.1,434,33,63,Lisa Simpson
fixable (not unfixable),63,730,33.6,53,Lisa Simpson
cynical (not gullible),63,887,34.4,51,Lisa Simpson
stick-in-the-mud (not adventurous),62.7,440,29.8,383,Lisa Simpson
dorky (not cool),62.7,530,34.5,123,Lisa Simpson
giggling (not chortling),62.7,308,29.5,43,Lisa Simpson
down2earth (not head@clouds),62.6,705,33,388,Lisa Simpson
🦄 (not 🐴),62.6,477,34.6,128,Lisa Simpson
serious (not bold),62.2,494,31.3,450,Lisa Simpson
factual (not poetic),61.8,730,32.8,76,Lisa Simpson
radical (not centrist),61.8,614,34.1,44,Lisa Simpson
hipster (not basic),61.7,381,30.6,390,Lisa Simpson
chatty (not reserved),61.5,728,29.2,447,Lisa Simpson
summer (not winter),61.5,690,37.3,37,Lisa Simpson
privileged (not oppressed),61.4,1030,31.9,54,Lisa Simpson
work-first (not family-first),61.3,709,29.6,393,Lisa Simpson
pain-avoidant (not masochistic),61.2,447,36,40,Lisa Simpson
devout (not heathen),61.1,692,34.1,384,Lisa Simpson
vibrant (not geriatric),61.1,1072,33.6,51,Lisa Simpson
private (not gregarious),61,940,27.6,395,Lisa Simpson
🐮 (not 🐷),61,648,31.4,171,Lisa Simpson
blissful (not haunted),61,329,29.4,57,Lisa Simpson
proletariat (not bourgeoisie),60.9,690,34,359,Lisa Simpson
reclusive (not social),60.8,585,30.3,189,Lisa Simpson
genuine (not sarcastic),60.5,749,31.5,349,Lisa Simpson
shy (not playful),60.3,289,24.4,437,Lisa Simpson
concrete (not abstract),60.3,825,34.8,149,Lisa Simpson
obedient (not rebellious),60.2,500,35.3,372,Lisa Simpson
glad (not mad),60.2,552,28.3,127,Lisa Simpson
🐘 (not 🐀),60.2,599,33.4,202,Lisa Simpson
thrifty (not extravagant),60.1,697,30.6,60,Lisa Simpson
neurotypical (not autistic),60,1251,31.6,382,Lisa Simpson
hard-work (not natural-talent),60,952,34,59,Lisa Simpson
distant (not touchy-feely),60,813,30.3,43,Lisa Simpson
industrial (not domestic),59.9,634,27.5,89,Lisa Simpson
predictable (not quirky),59.9,551,34.3,38,Lisa Simpson
sheltered (not street-smart),59.8,489,32.6,318,Lisa Simpson
literal (not metaphorical),59.7,916,34.7,361,Lisa Simpson
statist (not anarchist),59.7,710,34.4,171,Lisa Simpson
stylish (not slovenly),59.6,1003,27.9,378,Lisa Simpson
patriotic (not unpatriotic),59.6,1108,29.7,119,Lisa Simpson
freak (not normie),59.6,805,30.6,53,Lisa Simpson
practical (not imaginative),59.5,994,31.9,411,Lisa Simpson
explorer (not builder),59.3,743,33.4,424,Lisa Simpson
Swedish (not Italian),59.3,575,31.6,47,Lisa Simpson
often crying (not never cries),59.1,613,23.5,47,Lisa Simpson
judgemental (not accepting),58.9,770,31.7,280,Lisa Simpson
🥰 (not 🙃),58.8,765,31.5,180,Lisa Simpson
weird (not normal),58.7,950,28,458,Lisa Simpson
guarded (not open),58.7,1293,29.6,400,Lisa Simpson
feisty (not gracious),58.6,1151,29.3,358,Lisa Simpson
🦒 (not 🐐),58.6,226,35.4,201,Lisa Simpson
mild (not spicy),58.4,503,30.2,388,Lisa Simpson
optimistic (not pessimistic),58.2,745,30.9,356,Lisa Simpson
cheesy (not chic),58.2,793,26.5,48,Lisa Simpson
repetitive (not varied),58.1,862,32.8,186,Lisa Simpson
🥶 (not 🥵),58.1,529,32.9,50,Lisa Simpson
🧕 (not 💃),58,393,31.3,213,Lisa Simpson
tattle-tale (not f***-the-police),57.9,522,37.6,57,Lisa Simpson
'left-brained' (not 'right-brained'),57.8,270,33.1,301,Lisa Simpson
western (not eastern),57.8,1177,34.1,173,Lisa Simpson
lover (not fighter),57.7,768,33.8,58,Lisa Simpson
linear (not circular),57.6,648,33.5,46,Lisa Simpson
tautology (not oxymoron),57.6,248,29.1,31,Lisa Simpson
monastic (not hedonist),57.4,492,34.4,77,Lisa Simpson
fortunate (not unlucky),57.3,654,28.7,422,Lisa Simpson
freelance (not corporate),57.3,992,37.5,64,Lisa Simpson
👟 (not 🥾),57.2,789,35.8,140,Lisa Simpson
cocky (not timid),57.2,1299,28.8,31,Lisa Simpson
trusting (not charming),57.1,637,30.6,425,Lisa Simpson
hypochondriac (not stoic),57.1,491,32.2,42,Lisa Simpson
😬 (not 😏),56.8,574,33.9,140,Lisa Simpson
worldly (not innocent),56.7,1240,31.8,434,Lisa Simpson
exuberant (not subdued),56.5,992,33.2,56,Lisa Simpson
no-nonsense (not dramatic),56.4,734,32.8,148,Lisa Simpson
transparent (not machiavellian),56.3,793,36.4,40,Lisa Simpson
open-book (not secretive),56.2,534,30.1,61,Lisa Simpson
cheery (not sorrowful),56,633,26.4,436,Lisa Simpson
theoretical (not empirical),55.8,394,36.8,385,Lisa Simpson
grateful (not entitled),55.6,851,30,53,Lisa Simpson
😀 (not 😭),55.5,781,31,132,Lisa Simpson
patient (not impatient),55.3,601,31.2,163,Lisa Simpson
quiet (not loud),55,810,29.8,400,Lisa Simpson
confident (not insecure),55,1276,31.1,424,Lisa Simpson
warm (not quarrelsome),54.8,784,29.9,419,Lisa Simpson
soft (not hard),54.6,799,29.2,363,Lisa Simpson
extreme (not moderate),54.6,1158,33.1,401,Lisa Simpson
🤠 (not 🤑),54.4,1140,33.4,117,Lisa Simpson
compersive (not jealous),54.1,862,29.8,332,Lisa Simpson
awkward (not suspicious),53.9,596,30,389,Lisa Simpson
good-humored (not angry),53.8,1033,26.5,368,Lisa Simpson
historical (not modern),53.8,769,34,270,Lisa Simpson
claustrophobic (not spelunker),53.7,536,33.6,62,Lisa Simpson
innocent (not jaded),53.7,536,33.1,43,Lisa Simpson
literary (not mathematical),53.6,1160,31.7,397,Lisa Simpson
unorthodox (not traditional),53.6,1051,36.8,89,Lisa Simpson
soft (not hard),53.5,817,30.3,123,Lisa Simpson
🤐 (not 😜),53.5,956,33.5,130,Lisa Simpson
humorless (not funny),53.3,702,26.6,424,Lisa Simpson
long-winded (not concise),53.3,785,36,50,Lisa Simpson
dry (not moist),52.9,903,31.8,56,Lisa Simpson
Pepsi (not Coke),52.8,697,36.9,46,Lisa Simpson
joyful (not miserable),52.7,721,29.1,106,Lisa Simpson
stable (not moody),52.6,561,29.6,444,Lisa Simpson
self-conscious (not self-assured),52.6,531,33.2,354,Lisa Simpson
awkward (not charming),52.5,654,30.3,437,Lisa Simpson
arrogant (not humble),52.5,1037,29.9,429,Lisa Simpson
happy (not sad),52.3,670,24.9,354,Lisa Simpson
still (not twitchy),52.3,699,31.6,67,Lisa Simpson
biased (not impartial),52.2,1523,32.6,325,Lisa Simpson
queer (not straight),52.1,421,30.9,137,Lisa Simpson
realist (not idealist),52.1,999,35.4,119,Lisa Simpson
classical (not avant-garde),52.1,1104,33.7,78,Lisa Simpson
zany (not regular),52.1,1084,31.6,116,Lisa Simpson
low self esteem (not narcissistic),52,721,33.1,68,Lisa Simpson
🥴 (not 🥳),51.5,1143,32.4,95,Lisa Simpson
poor (not rich),51.3,783,22.8,338,Lisa Simpson
deviant (not average),51,1250,33,272,Lisa Simpson
careful (not brave),50.1,673,31.7,427,Lisa Simpson
bashful (not exhibitionist),50.1,698,32.7,63,Lisa Simpson
armoured (not vulnerable),50.4,1258,30.9,376,Lisa Simpson
suspicious (not trusting),50.5,1122,32.4,465,Lisa Simpson
summer (not winter),84.7,118,10.2,42,Apu Nahasapeemapetilon
blue-collar (not ivory-tower),84.4,77,19.1,357,Apu Nahasapeemapetilon
works hard (not plays hard),84.1,194,20.2,387,Apu Nahasapeemapetilon
workaholic (not slacker),83.2,507,19.3,89,Apu Nahasapeemapetilon
side character (not main character),82.1,171,23.8,61,Apu Nahasapeemapetilon
penny-pincher (not overspender),80.6,45,23,168,Apu Nahasapeemapetilon
theist (not atheist),80.3,58,24.8,75,Apu Nahasapeemapetilon
hard-work (not natural-talent),80.2,116,25.5,65,Apu Nahasapeemapetilon
kind (not cruel),79.9,536,19.9,399,Apu Nahasapeemapetilon
spiritual (not skeptical),79.9,49,21.5,417,Apu Nahasapeemapetilon
pronatalist (not child free),79.8,50,28.5,281,Apu Nahasapeemapetilon
good-humored (not angry),79.8,247,19.1,356,Apu Nahasapeemapetilon
civilized (not barbaric),79.4,439,20,411,Apu Nahasapeemapetilon
devout (not heathen),79.3,81,21.6,348,Apu Nahasapeemapetilon
sunny (not gloomy),79.2,212,19.5,42,Apu Nahasapeemapetilon
diligent (not lazy),78.8,998,21.3,376,Apu Nahasapeemapetilon
lover (not fighter),78.6,179,21.8,59,Apu Nahasapeemapetilon
chatty (not reserved),78.4,348,21.2,405,Apu Nahasapeemapetilon
respectful (not rude),78.2,366,21.4,406,Apu Nahasapeemapetilon
oppressed (not privileged),78.2,98,21.6,44,Apu Nahasapeemapetilon
vegan (not cannibal),78.1,162,30.6,60,Apu Nahasapeemapetilon
eastern (not western),77.9,12,25.8,180,Apu Nahasapeemapetilon
human (not animalistic),77.1,536,24.7,375,Apu Nahasapeemapetilon
gendered (not androgynous),77,807,29.1,136,Apu Nahasapeemapetilon
🚴 (not 🏋️‍♂️),77,382,20.1,119,Apu Nahasapeemapetilon
frugal (not lavish),76.8,150,23.2,386,Apu Nahasapeemapetilon
self-disciplined (not disorganized),76,726,23.8,367,Apu Nahasapeemapetilon
pacifist (not ferocious),75.8,156,23.5,391,Apu Nahasapeemapetilon
warm (not cold),75.6,395,21.5,350,Apu Nahasapeemapetilon
nerd (not jock),75.5,504,21.1,388,Apu Nahasapeemapetilon
lighthearted (not intense),75.5,111,23.8,59,Apu Nahasapeemapetilon
cheery (not sorrowful),75.3,201,22.8,427,Apu Nahasapeemapetilon
not genocidal (not genocidal),75.2,666,24.7,37,Apu Nahasapeemapetilon
obedient (not rebellious),74.9,179,23.3,307,Apu Nahasapeemapetilon
yes-man (not contrarian),74.9,66,24.3,29,Apu Nahasapeemapetilon
businesslike (not chivalrous),74.3,303,27.2,57,Apu Nahasapeemapetilon
🐐 (not 🦒),74.1,148,28,175,Apu Nahasapeemapetilon
folksy (not presidential),74.1,235,22.4,37,Apu Nahasapeemapetilon
loyal (not traitorous),73.1,1038,24.2,396,Apu Nahasapeemapetilon
humble (not arrogant),73,286,24.3,394,Apu Nahasapeemapetilon
repetitive (not varied),73,192,23.3,146,Apu Nahasapeemapetilon
earth (not air),73,314,24.5,44,Apu Nahasapeemapetilon
scheduled (not spontaneous),72.5,533,25,351,Apu Nahasapeemapetilon
loveable (not punchable),72.4,502,25.9,60,Apu Nahasapeemapetilon
🐒 (not 🐩),71.9,232,26.6,114,Apu Nahasapeemapetilon
proletariat (not bourgeoisie),71.9,276,28.1,319,Apu Nahasapeemapetilon
healthy (not sickly),71.8,746,23.6,352,Apu Nahasapeemapetilon
funny (not humorless),71.6,527,22.9,410,Apu Nahasapeemapetilon
bookish (not sporty),71.5,713,20,332,Apu Nahasapeemapetilon
practical (not imaginative),71.5,558,26.6,334,Apu Nahasapeemapetilon
driven (not unambitious),71.4,1256,26,351,Apu Nahasapeemapetilon
warm (not quarrelsome),71.3,320,24.5,386,Apu Nahasapeemapetilon
😀 (not 😭),71.3,286,27.3,141,Apu Nahasapeemapetilon
non-gamer (not gamer),71.3,514,31.7,46,Apu Nahasapeemapetilon
egalitarian (not racist),71.2,1179,24.9,96,Apu Nahasapeemapetilon
orange (not purple),71.2,181,27.3,345,Apu Nahasapeemapetilon
glad (not mad),71.1,266,25.9,129,Apu Nahasapeemapetilon
🎨 (not 🏀),71,704,23.7,56,Apu Nahasapeemapetilon
gatherer (not hunter),70.8,368,23.2,46,Apu Nahasapeemapetilon
hoarder (not unprepared),70.5,344,23.1,279,Apu Nahasapeemapetilon
cautious (not impulsive),70.4,391,25.4,356,Apu Nahasapeemapetilon
desperate (not high standards),70.4,220,24,70,Apu Nahasapeemapetilon
stingy (not generous),70.2,306,31.3,66,Apu Nahasapeemapetilon
everyman (not chosen one),70.2,226,29.3,39,Apu Nahasapeemapetilon
touchy-feely (not distant),70.1,323,24.5,50,Apu Nahasapeemapetilon
builder (not explorer),70.1,253,25,307,Apu Nahasapeemapetilon
soft (not hard),70,386,21.9,61,Apu Nahasapeemapetilon
romantic (not dispassionate),70,724,24.7,72,Apu Nahasapeemapetilon
traditional (not unorthodox),69.9,312,29.5,69,Apu Nahasapeemapetilon
persistent (not quitter),69.8,1527,28.6,117,Apu Nahasapeemapetilon
submissive (not dominant),69.6,270,23.6,382,Apu Nahasapeemapetilon
sweet (not bitter),69.6,465,23.1,349,Apu Nahasapeemapetilon
gossiping (not confidential),69.5,290,26.1,342,Apu Nahasapeemapetilon
heroic (not villainous),69.4,981,21.3,401,Apu Nahasapeemapetilon
flower child (not goth),69.1,663,27.8,38,Apu Nahasapeemapetilon
angelic (not demonic),69,581,23,351,Apu Nahasapeemapetilon
multicolored (not monochrome),68.9,380,26.6,77,Apu Nahasapeemapetilon
🌟 (not 💩),68.7,1040,26.4,113,Apu Nahasapeemapetilon
grateful (not entitled),68.7,433,28.7,52,Apu Nahasapeemapetilon
expressive (not stoic),68.5,615,25.3,360,Apu Nahasapeemapetilon
English (not German),68.4,1109,24.6,37,Apu Nahasapeemapetilon
fast-talking (not slow-talking),68.4,618,26.6,56,Apu Nahasapeemapetilon
social (not reclusive),68.4,533,25.7,188,Apu Nahasapeemapetilon
optimistic (not pessimistic),68.3,439,27.9,340,Apu Nahasapeemapetilon
active (not slothful),68.3,1195,26.3,348,Apu Nahasapeemapetilon
masculine (not feminine),68.1,842,23,448,Apu Nahasapeemapetilon
comedic (not dramatic),68.1,213,27.9,50,Apu Nahasapeemapetilon
beta (not alpha),68.1,352,26.1,327,Apu Nahasapeemapetilon
boy/girl-next-door (not celebrity),68,743,29.9,45,Apu Nahasapeemapetilon
nurturing (not poisonous),67.9,722,24.5,127,Apu Nahasapeemapetilon
soulful (not soulless),67.9,1059,29.6,75,Apu Nahasapeemapetilon
average (not deviant),67.9,187,24.8,266,Apu Nahasapeemapetilon
happy (not sad),67.7,289,24.6,339,Apu Nahasapeemapetilon
vintage (not trendy),67.7,852,24.5,51,Apu Nahasapeemapetilon
orderly (not chaotic),67.6,609,28.5,410,Apu Nahasapeemapetilon
extrovert (not introvert),67.6,628,25.4,379,Apu Nahasapeemapetilon
independent (not codependent),67.6,782,30,351,Apu Nahasapeemapetilon
ironic (not profound),67.6,282,21,57,Apu Nahasapeemapetilon
soft (not hard),67.6,454,23.2,318,Apu Nahasapeemapetilon
neat (not messy),67.5,777,26.5,289,Apu Nahasapeemapetilon
accommodating (not stubborn),67.5,171,29.2,64,Apu Nahasapeemapetilon
generalist (not specialist),67.4,75,29.7,82,Apu Nahasapeemapetilon
resourceful (not helpless),67.4,1232,28.3,93,Apu Nahasapeemapetilon
on-time (not tardy),67.4,881,30.6,51,Apu Nahasapeemapetilon
😇 (not 😈),67.3,574,26.2,111,Apu Nahasapeemapetilon
centrist (not radical),67.3,160,19.7,27,Apu Nahasapeemapetilon
forgiving (not vengeful),67.2,551,28,358,Apu Nahasapeemapetilon
🧠 (not 💪),67.2,925,25.4,128,Apu Nahasapeemapetilon
playful (not shy),67.1,904,23.3,398,Apu Nahasapeemapetilon
smooth (not rough),67.1,413,23.1,350,Apu Nahasapeemapetilon
pure (not debased),67.1,557,24.5,341,Apu Nahasapeemapetilon
work-first (not family-first),66.9,561,28.5,365,Apu Nahasapeemapetilon
money-focused (not love-focused),66.9,344,30.6,39,Apu Nahasapeemapetilon
cultured (not rustic),66.9,632,31.6,50,Apu Nahasapeemapetilon
outsider (not insider),66.7,426,26.8,244,Apu Nahasapeemapetilon
dorky (not cool),66.7,437,28,118,Apu Nahasapeemapetilon
emotional (not unemotional),66.6,941,28.5,38,Apu Nahasapeemapetilon
white knight (not bad boy),66.6,717,23.8,39,Apu Nahasapeemapetilon
treasure (not trash),66.5,1226,27.4,142,Apu Nahasapeemapetilon
🧕 (not 💃),66.4,188,30.2,166,Apu Nahasapeemapetilon
methodical (not astonishing),66.2,631,26,314,Apu Nahasapeemapetilon
